Date_MODIS	Time_MODIS	AOD_MODIS	Time_AERONET	AOD_AERONET
2015-06-21	18:25	8.50000080746e-05	18:18:39	0.114732169
2015-07-31	17:36	0.060117002857	17:38:24	0.133629412
2015-08-13	18:43	0.000275000026124	18:22:21	0.238919814
2015-08-21	17:54	0.506030815717	17:50:57	0.81962013
2015-08-24	18:25	0.204128593035	18:19:52	0.623820818
2015-09-04	18:06	0.000763000072481	18:17:27	0.502484905
2015-09-14	18:43	0.216604010294	18:51:43	0.408143847
2015-09-18	18:18	0.411918519569	18:34:05	0.548925844
2015-09-20	18:06	0.347468656513	18:11:04	0.483492865
2015-09-29	18:00	0.214954260219	18:30:30	0.349960465
2015-10-06	18:06	0.174357151145	17:50:43	0.328236299
2015-10-13	18:12	0.120032505706	18:18:50	0.306151407
2015-10-20	18:18	0.191409009111	18:32:24	0.601273871
